iteration,step,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,ratio_mean
101,1,6.657125000000001,7.814,7.025,0.8301540613174438,5.360089302062988,4.312748908996582
101,2,6.714875,7.243,7.0724,3.0017354488372803,34.543243408203125,9.795799255371094
102,1,7.14325,8.259,7.6268,1.0265039205551147,8.410002708435059,2.728214979171753
102,2,6.619375,7.484,7.0886,0.9884052872657776,10.499534606933594,2.8666648864746094
103,1,6.591857142857143,7.868,7.1116,0.37771427631378174,10.823049545288086,105.08797454833984
103,2,6.660625,7.811,7.077,2.2353014945983887,58.4366569519043,15.008950233459473
104,1,6.17625,8.481,6.7258,5.957277774810791,9.579928398132324,9.327021598815918
104,2,7.121625,8.084,7.7025999999999994,0.8952339887619019,4.249438285827637,2.555276870727539
105,1,6.355124999999999,7.414,6.7774,1.340172290802002,11.599032402038574,4.11501932144165
105,2,6.2521249999999995,7.167,6.8804,0.5452743768692017,1528.9752197265625,3.421250820159912
106,1,6.286285714285714,7.667,6.7642,0.3825208246707916,5.2108306884765625,3.535266399383545
106,2,6.8085,7.926,7.365799999999998,3.546356201171875,18.319223403930664,4.605700492858887
107,1,6.884625,8.174,7.327800000000001,0.4499989151954651,2.7652292251586914,2.938145875930786
107,2,6.4235,7.923,6.7926,0.8634848594665527,2.9415853023529053,6.200493812561035
108,1,6.6537500000000005,7.822,7.1415999999999995,3.224086284637451,7.676578044891357,8.467974662780762
108,2,6.3755,7.291,6.8516,0.28317201137542725,4.331295013427734,6.0897979736328125
109,1,6.8778749999999995,7.637,7.0952,109.76809692382812,3.501610040664673,151.68975830078125
109,2,6.537375000000001,8.227,7.166199999999999,11.99229907989502,197.1385955810547,26.632156372070312
110,1,6.3925,7.074,6.7014,10.660998344421387,13.302255630493164,21.69799041748047
110,2,7.140874999999999,8.071,7.5634,0.2764323949813843,8.221406936645508,4.192147254943848
111,1,7.133875,8.456,7.6384,1.2026855945587158,7.780162811279297,4.169521808624268
111,2,6.831125,8.323,7.364400000000001,5.534451007843018,6.88549280166626,22.152877807617188
112,1,6.91475,7.435,7.2034,63.53976821899414,8.169909477233887,43.264244079589844
112,2,6.387875000000001,7.495,7.116200000000001,1.4346466064453125,4.389196872711182,4.69881010055542
113,1,6.680125,8.139,7.1738,0.6845946311950684,4.478457927703857,11.488938331604004
113,2,6.77975,7.844,7.247,2.588137149810791,30.22673797607422,3.0554566383361816
114,1,7.0641428571428575,8.064,7.4563999999999995,39.51365661621094,9.176464080810547,45.075111389160156
114,2,6.636500000000001,7.679,6.970400000000001,1.9898912906646729,28.77273941040039,2.3480231761932373
115,1,6.5432500000000005,7.898,6.889399999999999,0.5106497406959534,25.287189483642578,1.5705504417419434
115,2,6.696875,7.828,7.0364,4.26041841506958,20.316482543945312,17.00735092163086
116,1,6.96025,8.531,7.702,1.373069167137146,58.03928756713867,3.040088176727295
