smiles,selfies
Cc1ccc(S(=O)(=O)Cc2nc(-c3ccc(C(=O)Nc4ccc(C(C)C)cc4)cc3)oc2C)cc1,[C][C][=C][C][=C][Branch2][Branch1][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][N][=C][Branch2][Ring1][P][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring1][C][O][C][=Ring2][Ring1][#Branch1][C][C][=C][Ring2][Ring2][C]
CC(C)N1CN(c2nc3ccccc3s2)CN(c2[nH+]c3ccccc3s2)C1,[C][C][Branch1][C][C][N][C][N][Branch1][=C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][N][Branch1][=C][C][=NH1+1][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][Ring2][Ring1][Branch2]
CCN(c1ccccc1C)S(=O)(=O)c1nnc(NC(=O)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)s1,[C][C][N][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=N][N][=C][Branch2][Ring1][#Branch2][N][C][=Branch1][C][=O][C@][C][C@H1][C][C@H1][Branch1][O][C][C@H1][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][#Branch2][S][Ring2][Ring1][C]
Cc1cc(C)cc(Nc2nc3c(S(=O)(=O)c4ccc(C)c(C)c4)nnn3c3ccsc23)c1,[C][C][=C][C][Branch1][C][C][=C][C][Branch2][Ring2][=N][N][C][=N][C][=C][Branch2][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][Branch2][N][=N][N][Ring1][S][C][C][=C][S][C][Ring2][Ring1][#Branch1][=Ring1][Branch1][=C][Ring2][Ring1][#C]
CC(C)(C)c1cc(C(=O)N/N=C\c2c3ccccc3cc3ccccc23)[nH]n1,[C][C][Branch1][C][C][Branch1][C][C][C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][N][/N][=C][\C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1][NH1][N][=Ring2][Ring1][Branch2]
CCCN(CCC)c1[nH+]cc([N-]S(=O)(=O)c2ccc(C(C)(C)C)cc2)cc1C(=O)[O-],[C][C][C][N][Branch1][Ring2][C][C][C][C][=NH1+1][C][=C][Branch2][Ring1][O][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#Branch2][C][=C][Ring2][Ring1][Ring2][C][=Branch1][C][=O][O-1]
CC[C@@H](NC(=O)c1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,[C][C][C@@H1][Branch2][Ring2][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][=Branch2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#C][=O][C@][C][C@H1][C][C@H1][Branch1][O][C][C@H1][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][#Branch2]
O=C(N/N=C/c1c(O)ccc2ccccc12)c1cc(-c2ccc3ccccc3c2)n[nH]1,[O][=C][Branch2][Ring1][Branch1][N][/N][=C][/C][=C][Branch1][C][O][C][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][C][=C][C][Branch1][#C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][=N][NH1][Ring1][#C]
Cc1ccc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(C)c4C)CC3)c(C(=O)[O-])c2)cc1,[C][C][=C][C][=C][Branch2][Branch1][C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][#Branch1][N][C][C][N][Branch1][=N][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][C][C][C][Ring1][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][P]
CCCOc1ccc([C@H]2C(=O)N([C@H]3CC[C@H](C)CC3)CC(=O)N2Cc2ccccc2Cl)cc1OC,[C][C][C][O][C][=C][C][=C][Branch2][Ring2][=Branch1][C@H1][C][=Branch1][C][=O][N][Branch1][N][C@H1][C][C][C@H1][Branch1][C][C][C][C][Ring1][#Branch1][C][C][=Branch1][C][=O][N][Ring1][#C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=C][Ring2][Ring1][=N][O][C]
