original,augmented
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1ccc(Cn2c(=O)c3cnc4n(ncn4)c3cc2)nc1
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1c2n3c(ncn3)ncc2c(=O)n(Cc2ncccc2)c1
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c1cc(C)c(C(=O)Nc2cnc3n(c4ccc(C)cc4s3)c2=O)cc1
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c1cc(C)cc2c1n1c(ncc(NC(c3ccccc3C)=O)c1=O)s2
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c1cccc(C)c1C(=O)Nc1c(=O)n2c3ccc(C)cc3sc2nc1
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c12c(n3c(s1)ncc(NC(c1ccccc1C)=O)c3=O)ccc(C)c2
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c1cc2n3c(=O)c(NC(=O)c4ccccc4C)cnc3sc2cc1C
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,C(C(Nc1ccccc1C(N)=O)=O)CN1C(=O)c2c([N+]([O-])=O)cccc2C1=O
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,N(C(CCN1C(=O)c2c([N+]([O-])=O)cccc2C1=O)=O)c1c(C(N)=O)cccc1
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,C(Nc1c(C(N)=O)cccc1)(CCN1C(=O)c2c([N+](=O)[O-])cccc2C1=O)=O
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,[N+](=O)(c1c2c(ccc1)C(=O)N(CCC(Nc1ccccc1C(N)=O)=O)C2=O)[O-]
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,c12c([N+](=O)[O-])cccc1C(=O)N(CCC(Nc1c(C(=O)N)cccc1)=O)C2=O
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,c1c(C(=O)N)c(NC(=O)c2ccc(N3C(=O)CC[S@+]3(=O)[OH2+])cc2)ccc1
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,NC(=O)c1ccccc1NC(c1ccc(N2[S@+]([OH2+])(=O)CCC2=O)cc1)=O
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,c1(N2C(=O)CC[S@@+]2([OH2+])=O)ccc(C(Nc2ccccc2C(N)=O)=O)cc1
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,c1cc(C(N)=O)c(NC(c2ccc(N3C(=O)CC[S@@+]3([OH2+])=O)cc2)=O)cc1
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,C1(=O)CC[S@@+]([OH2+])(=O)N1c1ccc(C(=O)Nc2ccccc2C(N)=O)cc1
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,n1cc(CNC(c2c3n(nc2)C[C@@H](NC(c2cn(C)nc2)=O)C3)=O)ccc1
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,n1(C)ncc(C(N[C@H]2Cc3n(ncc3C(=O)NCc3cccnc3)C2)=O)c1
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,c1(CNC(=O)c2c3n(nc2)C[C@@H](NC(c2cn(C)nc2)=O)C3)cnccc1
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,Cn1cc(C(=O)N[C@H]2Cc3n(ncc3C(=O)NCc3cccnc3)C2)cn1
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,n1cccc(CNC(=O)c2cnn3c2C[C@H](NC(c2cn(C)nc2)=O)C3)c1
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,c12n[nH]c(-c3ccc(C)cc3)c1c(C(=O)[O-])cc(-c1cc(OC)c(OC)cc1)n2
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,c1(OC)cc(-c2cc(C([O-])=O)c3c(-c4ccc(C)cc4)[nH]nc3n2)ccc1OC
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,COc1ccc(-c2nc3n[nH]c(-c4ccc(C)cc4)c3c(C(=O)[O-])c2)cc1OC
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,c1(OC)c(OC)ccc(-c2nc3n[nH]c(-c4ccc(C)cc4)c3c(C(=O)[O-])c2)c1
