original,augmented,selfies
NS(=O)(=O)c1ccc(CCNC(=O)CSc2ncccc2C(=O)[O-])cc1,c1cc(CCNC(=O)CSc2c(C([O-])=O)cccn2)ccc1S(=O)(N)=O,[C][=C][C][Branch2][Ring1][=Branch2][C][C][N][C][=Branch1][C][=O][C][S][C][=C][Branch1][=Branch1][C][Branch1][C][O-1][=O][C][=C][C][=N][Ring1][=Branch2][=C][C][=C][Ring2][Ring1][=Branch1][S][=Branch1][C][=O][Branch1][C][N][=O]
O=C([C@@H]1CC(=O)N(c2ccc(F)cc2)C1)N1CC[NH2+]CC1,c1(N2C(=O)C[C@@H](C(N3CC[NH2+]CC3)=O)C2)ccc(F)cc1,[C][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][C][C@@H1][Branch1][=N][C][Branch1][=Branch2][N][C][C][NH2+1][C][C][Ring1][=Branch1][=O][C][Ring1][=C][=C][C][=C][Branch1][C][F][C][=C][Ring2][Ring1][Branch1]
O=C([O-])[C@@H]1CC(=O)N(c2ccccc2)[C@H]1c1cccc(C(F)(F)F)c1,c1cc(N2[C@@H](c3cccc(C(F)(F)F)c3)[C@H](C(=O)[O-])CC2=O)ccc1,[C][=C][C][Branch2][Ring2][=Branch1][N][C@@H1][Branch2][Ring1][Ring1][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][#Branch2][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][C][Ring2][Ring1][C][=O][=C][C][=C][Ring2][Ring1][=Branch2]
O=C(NCc1ccccn1)c1c([O-])nc2ccccn2c1=O,c12ccccn1c(=O)c(C(NCc1ncccc1)=O)c([O-])n2,[C][C][=C][C][=C][N][Ring1][=Branch1][C][=Branch1][C][=O][C][Branch1][#C][C][Branch1][O][N][C][C][=N][C][=C][C][=C][Ring1][=Branch1][=O][=C][Branch1][C][O-1][N][=Ring2][Ring1][=Branch1]
CCO[C@H]1O[C@@H]2[C@H](O1)[C@H](CO)O[C@H]2n1cnc2c(N)ncnc21,c1(N)c2ncn([C@@H]3O[C@@H](CO)[C@@H]4[C@H]3O[C@H](OCC)O4)c2ncn1,[C][Branch1][C][N][=C][N][=C][N][Branch2][Ring1][=Branch1][C@@H1][O][C@@H1][Branch1][Ring1][C][O][C@@H1][C@H1][Ring1][#Branch1][O][C@H1][Branch1][Ring2][O][C][C][O][Ring1][Branch2][C][Ring2][Ring1][C][=N][C][=N][Ring2][Ring1][#Branch1]
Cn1cc(CN2CCN(C(=O)COc3ccc(F)cc3)CC2)ccc1=O,c1c(=O)n(C)cc(CN2CCN(C(COc3ccc(F)cc3)=O)CC2)c1,[C][C][=Branch1][C][=O][N][Branch1][C][C][C][=C][Branch2][Ring1][=C][C][N][C][C][N][Branch2][Ring1][C][C][Branch1][=C][C][O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=O][C][C][Ring1][P][C][=Ring2][Ring1][#Branch2]
CC(=O)N[C@@H]1CN(C(=O)c2n[nH]c3ccccc23)C[C@H]1CO,c1cccc2c1[nH]nc2C(N1C[C@@H](CO)[C@H](NC(=O)C)C1)=O,[C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][N][=C][Ring1][Branch1][C][Branch2][Ring1][Ring2][N][C][C@@H1][Branch1][Ring1][C][O][C@H1][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][Ring1][O][=O]
O=C([O-])[C@H](Cc1ccccc1)NC(=O)N1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)[O-])CC1,c1c(C[C@H](NC(N2CCN(C(=O)N[C@H](C([O-])=O)Cc3ccccc3)CC2)=O)C(=O)[O-])cccc1,[C][=C][Branch2][Branch1][Ring1][C][C@H1][Branch2][Ring2][=Branch2][N][C][Branch2][Ring2][Ring1][N][C][C][N][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][Branch1][C][O-1][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2][=O][C][=Branch1][C][=O][O-1][C][=C][C][=C][Ring2][Ring2][C]
Cc1ccc(C2=NN(C(=O)CN(C)Cc3ccccc3)[C@H](c3ccccc3)C2)cc1C,C(=O)(CN(C)Cc1ccccc1)N1[C@H](c2ccccc2)CC(c2ccc(C)c(C)c2)=N1,[C][=Branch1][C][=O][Branch1][#C][C][N][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Branch1][#C][C][=C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][Branch2][=N][Ring2][Ring1][Ring1]
Cc1nn(C)c(C(=O)Nc2cnn(C)c2C(N)=O)c1Cl,n1n(C)c(C(N)=O)c(NC(=O)c2c(Cl)c(C)nn2C)c1,[N][N][Branch1][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Branch2][Ring1][Ring2][N][C][=Branch1][C][=O][C][=C][Branch1][C][Cl][C][Branch1][C][C][=N][N][Ring1][#Branch1][C][C][=Ring2][Ring1][Ring2]
